,N_s,CAH,Theta,p_steam
S1,0.7002736522606476,0.10988403818695809,0.09302151225411338,0.07029664616351622
S1_conf,0.11348213297911892,0.032138634347119534,0.028727487191398404,0.025958557216896605
ST,0.721655113800932,0.10948464373025596,0.10126145329586397,0.06825776711998179
ST_conf,0.06227313814331736,0.01609372108864571,0.01431420389289913,0.00951416543624097
