,p_steam,Theta,CAH,N_s,alpha,bond
86,3138.916015625,37.373046875,85.7412109375,805664.2568359375,373655.4956980876,8.174114718509307
87,3138.916015625,47.666015625,5.4326171875,805664.2568359375,785734.2065766881,0.3469905979580531
88,3138.916015625,47.666015625,85.7412109375,458008.3544921875,481703.4863778458,4.981419331850625
89,3138.916015625,47.666015625,85.7412109375,805664.2568359375,504333.2480411482,4.981419331850625
90,2839.208984375,122.373046875,49.9326171875,958007.8544921875,851846.6455404055,0.33307572289529297
91,663.916015625,122.373046875,49.9326171875,958007.8544921875,593333.7376858356,0.33307572289529286
92,2839.208984375,132.666015625,49.9326171875,958007.8544921875,773744.4895189909,0.23421642226033146
93,2839.208984375,122.373046875,41.2412109375,958007.8544921875,877920.7142440404,0.2779107492676959
94,2839.208984375,122.373046875,49.9326171875,305664.7568359375,660636.932244279,0.33307572289529297
95,2839.208984375,132.666015625,41.2412109375,305664.7568359375,605741.460213013,0.19542481461979788
96,663.916015625,122.373046875,41.2412109375,305664.7568359375,513953.6754705885,0.27791074926769593
97,663.916015625,132.666015625,49.9326171875,305664.7568359375,463340.4297237029,0.23421642226033149
98,663.916015625,132.666015625,41.2412109375,958007.8544921875,581908.982870204,0.19542481461979785
99,663.916015625,132.666015625,41.2412109375,305664.7568359375,477514.1168380631,0.19542481461979785
100,4076.708984375,79.873046875,27.6826171875,208008.6044921875,809369.4977881289,0.5991783715539553
101,1901.416015625,79.873046875,27.6826171875,208008.6044921875,677548.4195643512,0.5991783715539555
102,4076.708984375,90.166015625,27.6826171875,208008.6044921875,819126.0602222272,0.4549213913501174
103,4076.708984375,79.873046875,63.4912109375,208008.6044921875,709847.0799249919,1.3177788609529464
104,4076.708984375,79.873046875,27.6826171875,55665.0068359375,596147.2935208143,0.5991783715539553
105,4076.708984375,90.166015625,63.4912109375,55665.0068359375,515788.2389243856,1.0005130715278236
106,1901.416015625,79.873046875,63.4912109375,55665.0068359375,460799.3309222808,1.3177788609529466
107,1901.416015625,90.166015625,27.6826171875,55665.0068359375,529240.6309317076,0.4549213913501174
108,1901.416015625,90.166015625,63.4912109375,208008.6044921875,615978.1880024843,1.0005130715278234
109,1901.416015625,90.166015625,63.4912109375,55665.0068359375,464200.0948399587,1.0005130715278234
110,1601.708984375,164.873046875,72.1826171875,708008.1044921875,301370.6922760576,0.046597063632143255
111,4376.416015625,164.873046875,72.1826171875,708008.1044921875,319291.38770614227,0.04659706363214325
112,1601.708984375,5.166015625,72.1826171875,708008.1044921875,12026.187872026656,863.5923544645921
113,1601.708984375,164.873046875,18.9912109375,708008.1044921875,384707.3710522933,0.010737709649829433
114,1601.708984375,164.873046875,72.1826171875,555664.5068359375,281733.004473179,0.046597063632143255
115,1601.708984375,5.166015625,18.9912109375,555664.5068359375,16801.752856501666,113.27830835898865
116,4376.416015625,164.873046875,18.9912109375,555664.5068359375,379542.69377381844,0.010737709649829428
117,4376.416015625,5.166015625,72.1826171875,555664.5068359375,19433.54742586542,863.5923544645923
118,4376.416015625,5.166015625,18.9912109375,708008.1044921875,27328.990748297456,113.27830835898868
119,4376.416015625,5.166015625,18.9912109375,555664.5068359375,27236.432623877154,113.27830835898868
120,2220.458984375,58.623046875,61.0576171875,583008.2294921875,567709.082901737,2.44203172577653
121,4995.166015625,58.623046875,61.0576171875,583008.2294921875,741827.5582483354,2.4420317257765296
122,2220.458984375,68.916015625,61.0576171875,583008.2294921875,657202.9686685771,1.7462356410978037
123,2220.458984375,58.623046875,52.3662109375,583008.2294921875,581177.3254298791,2.121231407653751
124,2220.458984375,58.623046875,61.0576171875,180664.8818359375,498144.82018185896,2.44203172577653
125,2220.458984375,68.916015625,52.3662109375,180664.8818359375,576231.2354413494,1.516839379260388
126,4995.166015625,58.623046875,52.3662109375,180664.8818359375,640255.6290460209,2.121231407653751
127,4995.166015625,68.916015625,61.0576171875,180664.8818359375,686407.2113676756,1.7462356410978033
128,4995.166015625,68.916015625,52.3662109375,583008.2294921875,857908.9382935667,1.5168393792603876
129,4995.166015625,68.916015625,52.3662109375,180664.8818359375,702692.3584796273,1.5168393792603876
130,4695.458984375,143.623046875,16.5576171875,83008.7294921875,406892.5303701676,0.04969069240823396
131,2520.166015625,143.623046875,16.5576171875,83008.7294921875,394922.56875644834,0.049690692408233955
132,4695.458984375,153.916015625,16.5576171875,83008.7294921875,315985.5397883169,0.02678367966752132
133,4695.458984375,143.623046875,7.8662109375,83008.7294921875,460225.4114308981,0.02367085372807267
134,4695.458984375,143.623046875,16.5576171875,680664.3818359375,765293.9876644929,0.04969069240823396
135,4695.458984375,153.916015625,7.8662109375,680664.3818359375,686431.3264293633,0.012758779018430253
136,2520.166015625,143.623046875,7.8662109375,680664.3818359375,815391.0353699329,0.02367085372807268
137,2520.166015625,153.916015625,16.5576171875,680664.3818359375,580266.2065977973,0.02678367966752133
138,2520.166015625,153.916015625,7.8662109375,83008.7294921875,349209.4249924275,0.012758779018430259
139,2520.166015625,153.916015625,7.8662109375,680664.3818359375,656425.0509982851,0.012758779018430259
140,3457.958984375,16.123046875,83.3076171875,833007.9794921875,113577.15099234453,54.05064869191581
141,1282.666015625,16.123046875,83.3076171875,833007.9794921875,71723.16702618227,54.05064869191583
142,3457.958984375,111.416015625,83.3076171875,833007.9794921875,850819.1281835701,0.7221585167697895
143,3457.958984375,16.123046875,74.6162109375,833007.9794921875,116330.59964300592,46.80537750056083
144,3457.958984375,16.123046875,83.3076171875,930664.1318359375,113928.53116643385,54.05064869191581
145,3457.958984375,111.416015625,74.6162109375,930664.1318359375,882046.6257354782,0.6585651101491172
146,1282.666015625,16.123046875,74.6162109375,930664.1318359375,73633.75412283737,46.805377500560816
147,1282.666015625,111.416015625,83.3076171875,930664.1318359375,684412.6236822741,0.7221585167697897
148,1282.666015625,111.416015625,74.6162109375,833007.9794921875,684312.0645812431,0.6585651101491174
149,1282.666015625,111.416015625,74.6162109375,930664.1318359375,694999.0425256842,0.6585651101491174
150,982.958984375,101.123046875,38.8076171875,333008.4794921875,614155.0483233021,0.4751078908640107
151,3757.666015625,101.123046875,38.8076171875,333008.4794921875,834118.5145133263,0.4751078908640107
152,982.958984375,26.416015625,38.8076171875,333008.4794921875,151121.49099232838,7.956398759384072
153,982.958984375,101.123046875,30.1162109375,333008.4794921875,639809.5766798449,0.3715335886858545
154,982.958984375,101.123046875,38.8076171875,430664.6318359375,638014.7101025659,0.4751078908640107
155,982.958984375,26.416015625,30.1162109375,430664.6318359375,158991.43012409547,6.2218907345737104
156,3757.666015625,101.123046875,30.1162109375,430664.6318359375,918391.3805838367,0.37153358868585457
157,3757.666015625,26.416015625,38.8076171875,430664.6318359375,274574.3907017751,7.956398759384074
158,3757.666015625,26.416015625,30.1162109375,333008.4794921875,281830.8486383364,6.221890734573709
159,3757.666015625,26.416015625,30.1162109375,430664.6318359375,286043.6529845566,6.221890734573709
160,673.583984375,69.248046875,88.8701171875,20508.7919921875,268095.62645815813,2.382497833531983
161,354.541015625,69.248046875,88.8701171875,20508.7919921875,220263.39262925403,2.3824978335319824
162,673.583984375,15.791015625,88.8701171875,20508.7919921875,44577.48649633262,62.01498198443201
163,673.583984375,69.248046875,46.8037109375,20508.7919921875,294597.8194639306,1.3516273034462214
164,673.583984375,69.248046875,88.8701171875,243164.8193359375,371598.118659068,2.382497833531983
165,673.583984375,15.791015625,46.8037109375,243164.8193359375,55468.27824297242,27.714253531883248
166,354.541015625,69.248046875,46.8037109375,243164.8193359375,314412.02727408096,1.3516273034462207
167,354.541015625,15.791015625,88.8701171875,243164.8193359375,35188.84955809344,62.014981984432
168,354.541015625,15.791015625,46.8037109375,20508.7919921875,37495.70251649703,27.714253531883248
169,354.541015625,15.791015625,46.8037109375,243164.8193359375,40221.652714236974,27.714253531883248
170,3148.583984375,154.248046875,44.3701171875,520508.2919921875,463453.0781492522,0.06855698966337499
171,2829.541015625,154.248046875,44.3701171875,520508.2919921875,459917.4878356528,0.06855698966337499
172,3148.583984375,100.791015625,44.3701171875,520508.2919921875,866717.861320336,0.5446963674748287
173,3148.583984375,154.248046875,2.3037109375,520508.2919921875,754664.3873659144,0.0036497795047369577
174,3148.583984375,154.248046875,44.3701171875,743164.3193359375,510899.9599719455,0.06855698966337499
175,3148.583984375,100.791015625,2.3037109375,743164.3193359375,1505607.6948854395,0.028998088277734924
176,2829.541015625,154.248046875,2.3037109375,743164.3193359375,824919.8056985073,0.0036497795047369577
177,2829.541015625,100.791015625,44.3701171875,743164.3193359375,901948.3072175249,0.5446963674748286
178,2829.541015625,100.791015625,2.3037109375,520508.2919921875,1380527.0411984615,0.02899808827773491
179,2829.541015625,100.791015625,2.3037109375,743164.3193359375,1469381.5813262458,0.02899808827773491
180,4386.083984375,26.748046875,66.6201171875,270508.5419921875,264861.39460036304,12.997218142746057
181,4067.041015625,26.748046875,66.6201171875,270508.5419921875,257163.7478292792,12.997218142746062
182,4386.083984375,143.291015625,66.6201171875,270508.5419921875,473007.7134180919,0.19268587779068064
183,4386.083984375,26.748046875,69.0537109375,270508.5419921875,263265.86353328,13.477629978716497
184,4386.083984375,26.748046875,66.6201171875,993164.0693359375,284670.95373658615,12.997218142746057
185,4386.083984375,143.291015625,69.0537109375,993164.0693359375,671066.330988666,0.19886919055089755
186,4067.041015625,26.748046875,69.0537109375,993164.0693359375,274272.18080090237,13.4776299787165
187,4067.041015625,143.291015625,66.6201171875,993164.0693359375,669759.8954341263,0.19268587779068075
188,4067.041015625,143.291015625,69.0537109375,270508.5419921875,468347.1790447228,0.1988691905508976
189,4067.041015625,143.291015625,69.0537109375,993164.0693359375,666246.6171987866,0.1988691905508976
190,1911.083984375,111.748046875,22.1201171875,770508.0419921875,907749.3746568802,0.20654225986907945
191,1592.041015625,111.748046875,22.1201171875,770508.0419921875,867547.0578279324,0.20654225986907943
192,1911.083984375,58.291015625,22.1201171875,770508.0419921875,642771.9912706504,0.9330443920215034
193,1911.083984375,111.748046875,24.5537109375,770508.0419921875,892329.1839763587,0.22893425960289054
194,1911.083984375,111.748046875,22.1201171875,493164.5693359375,838791.7231323225,0.20654225986907945
195,1911.083984375,58.291015625,24.5537109375,493164.5693359375,608600.4960121498,1.034199137742899
196,1592.041015625,111.748046875,24.5537109375,493164.5693359375,791205.9403876469,0.2289342596028906
197,1592.041015625,58.291015625,22.1201171875,493164.5693359375,578375.4435001062,0.9330443920215032
198,1592.041015625,58.291015625,24.5537109375,770508.0419921875,588941.7991007396,1.034199137742899
199,1592.041015625,58.291015625,24.5537109375,493164.5693359375,568553.9390583364,1.034199137742899
200,1292.333984375,5.498046875,33.2451171875,895507.9169921875,14812.607308562525,212.4548184732171
201,2210.791015625,5.498046875,33.2451171875,895507.9169921875,19312.64588040564,212.454818473217
202,1292.333984375,37.041015625,33.2451171875,895507.9169921875,294843.66304927645,3.479727458826061
203,1292.333984375,5.498046875,80.1787109375,895507.9169921875,11730.02175362913,866.4234595166101
204,1292.333984375,5.498046875,33.2451171875,868164.1943359375,14808.183285173473,212.4548184732171
205,1292.333984375,37.041015625,80.1787109375,868164.1943359375,257190.3945488703,7.847733328741809
206,2210.791015625,5.498046875,80.1787109375,868164.1943359375,15285.294089795876,866.42345951661
207,2210.791015625,37.041015625,33.2451171875,868164.1943359375,371361.7548686146,3.47972745882606
208,2210.791015625,37.041015625,80.1787109375,895507.9169921875,324845.84519959963,7.847733328741809
209,2210.791015625,37.041015625,80.1787109375,868164.1943359375,324346.15917019296,7.847733328741809
210,3767.333984375,90.498046875,77.7451171875,395508.4169921875,787392.9134501036,1.1830929510828545
211,4685.791015625,90.498046875,77.7451171875,395508.4169921875,821601.7303613813,1.183092951082854
212,3767.333984375,122.041015625,77.7451171875,395508.4169921875,685858.599639744,0.5003988443825291
213,3767.333984375,90.498046875,35.6787109375,395508.4169921875,887260.6790757419,0.5775099568085708
214,3767.333984375,90.498046875,77.7451171875,368164.6943359375,776522.2325495551,1.1830929510828545
215,3767.333984375,122.041015625,35.6787109375,368164.6943359375,759067.2609394363,0.24426256173862962
216,4685.791015625,90.498046875,35.6787109375,368164.6943359375,912323.8198023179,0.5775099568085706
217,4685.791015625,122.041015625,77.7451171875,368164.6943359375,690136.4226270798,0.5003988443825291
218,4685.791015625,122.041015625,35.6787109375,395508.4169921875,792223.9466067167,0.2442625617386296
219,4685.791015625,122.041015625,35.6787109375,368164.6943359375,777658.4483768394,0.2442625617386296
220,2529.833984375,47.998046875,10.9951171875,645508.1669921875,638838.990893302,0.6916902213841318
221,3448.291015625,47.998046875,10.9951171875,645508.1669921875,716743.9826209634,0.6916902213841317
222,2529.833984375,164.541015625,10.9951171875,645508.1669921875,429480.6183632451,0.006506176713891275
223,2529.833984375,47.998046875,57.9287109375,645508.1669921875,487841.91807691846,3.4963463442281366
224,2529.833984375,47.998046875,10.9951171875,118164.9443359375,538604.3204739674,0.6916902213841318
225,2529.833984375,164.541015625,57.9287109375,118164.9443359375,190098.24160639735,0.03640994763562254
226,3448.291015625,47.998046875,57.9287109375,118164.9443359375,452935.4904676934,3.496346344228136
227,3448.291015625,164.541015625,10.9951171875,118164.9443359375,255632.61574846593,0.006506176713891275
228,3448.291015625,164.541015625,57.9287109375,645508.1669921875,327790.0414589388,0.036409947635622546
229,3448.291015625,164.541015625,57.9287109375,118164.9443359375,192069.64209093887,0.036409947635622546
230,54.833984375,132.998046875,55.4951171875,145508.6669921875,182962.7173852705,0.25511901187363106
231,973.291015625,132.998046875,55.4951171875,145508.6669921875,411466.035720779,0.2551190118736311
232,54.833984375,79.541015625,55.4951171875,145508.6669921875,144601.53172220534,1.1768053553037081
233,54.833984375,132.998046875,13.4287109375,145508.6669921875,230133.5141987046,0.06406763646462717
234,54.833984375,132.998046875,55.4951171875,618164.4443359375,208360.51085716617,0.25511901187363106
235,54.833984375,79.541015625,13.4287109375,618164.4443359375,194261.7571286302,0.29552927921565525
236,973.291015625,132.998046875,13.4287109375,618164.4443359375,715014.5659292745,0.06406763646462718
237,973.291015625,79.541015625,55.4951171875,618164.4443359375,560368.1746205623,1.176805355303708
238,973.291015625,79.541015625,13.4287109375,145508.6669921875,592525.79701145,0.29552927921565525
239,973.291015625,79.541015625,13.4287109375,618164.4443359375,705230.2856206042,0.29552927921565525
240,57.2509765625,68.9990234375,40.85009765625,486816.91943359375,140181.4917349548,1.1966492299214864
241,2807.7880859375,68.9990234375,40.85009765625,486816.91943359375,739300.5112843269,1.196649229921487
242,57.2509765625,148.5205078125,40.85009765625,486816.91943359375,205742.92220853586,0.09229923984682087
243,57.2509765625,68.9990234375,22.51123046875,486816.91943359375,154359.14170644188,0.6692891141686027
244,57.2509765625,68.9990234375,40.85009765625,587402.7563476562,141067.5474302707,1.1966492299214864
245,57.2509765625,148.5205078125,22.51123046875,587402.7563476562,230749.8758857055,0.0516232116570762
246,2807.7880859375,68.9990234375,22.51123046875,587402.7563476562,833043.911939841,0.6692891141686026
247,2807.7880859375,148.5205078125,40.85009765625,587402.7563476562,551484.1539368527,0.09229923984682092
248,2807.7880859375,148.5205078125,22.51123046875,486816.91943359375,577699.9640612955,0.051623211657076215
249,2807.7880859375,148.5205078125,22.51123046875,587402.7563476562,607474.8193418174,0.051623211657076215
250,2532.2509765625,153.9990234375,85.35009765625,986816.4194335938,486769.12810788635,0.1341951650859276
251,332.7880859375,153.9990234375,85.35009765625,986816.4194335938,340970.4872365638,0.1341951650859276
252,2532.2509765625,63.5205078125,85.35009765625,986816.4194335938,642099.191167813,2.762162761199377
253,2532.2509765625,153.9990234375,67.01123046875,986816.4194335938,507976.1733429162,0.10387105259665058
254,2532.2509765625,153.9990234375,85.35009765625,87403.25634765625,239380.6659807479,0.1341951650859276
255,2532.2509765625,63.5205078125,67.01123046875,87403.25634765625,483423.61650446686,2.2494489775443047
256,332.7880859375,153.9990234375,67.01123046875,87403.25634765625,208325.74696325243,0.10387105259665057
257,332.7880859375,63.5205078125,85.35009765625,87403.25634765625,235726.77983822406,2.762162761199376
258,332.7880859375,63.5205078125,67.01123046875,986816.4194335938,286309.8970978254,2.2494489775443043
259,332.7880859375,63.5205078125,67.01123046875,87403.25634765625,243915.13544494633,2.2494489775443043
260,3769.7509765625,26.4990234375,18.60009765625,236817.16943359375,300066.1554486187,3.8460244767141356
261,1570.2880859375,26.4990234375,18.60009765625,236817.16943359375,208112.10431877614,3.8460244767141356
262,3769.7509765625,21.0205078125,18.60009765625,236817.16943359375,217799.76558845057,6.113716503193864
263,3769.7509765625,26.4990234375,44.76123046875,236817.16943359375,260187.79901822645,9.061637554967579
264,3769.7509765625,26.4990234375,18.60009765625,337403.00634765625,306944.863519744,3.8460244767141356
265,3769.7509765625,21.0205078125,44.76123046875,337403.00634765625,192341.50679343607,14.419415354565952
266,1570.2880859375,26.4990234375,44.76123046875,337403.00634765625,183616.98464408892,9.061637554967577
267,1570.2880859375,21.0205078125,18.60009765625,337403.00634765625,151142.2808018172,6.11371650319386
268,1570.2880859375,21.0205078125,44.76123046875,236817.16943359375,129200.32094517484,14.419415354565945
269,1570.2880859375,21.0205078125,44.76123046875,337403.00634765625,131049.46021479994,14.419415354565945
270,1294.7509765625,111.4990234375,63.10009765625,736816.6694335938,690543.7160282817,0.5672357166361506
271,4045.2880859375,111.4990234375,63.10009765625,736816.6694335938,888563.5056816684,0.5672357166361506
272,1294.7509765625,106.0205078125,63.10009765625,736816.6694335938,694222.9165253813,0.6578068103525815
273,1294.7509765625,111.4990234375,89.26123046875,736816.6694335938,657482.80666553,0.7616001021829976
274,1294.7509765625,111.4990234375,63.10009765625,837402.5063476562,703549.9751818543,0.5672357166361506
275,1294.7509765625,106.0205078125,89.26123046875,837402.5063476562,672602.9532399172,0.883205551568875
276,4045.2880859375,111.4990234375,89.26123046875,837402.5063476562,867958.6511661822,0.7616001021829978
277,4045.2880859375,106.0205078125,63.10009765625,837402.5063476562,931850.8850121949,0.6578068103525814
278,4045.2880859375,106.0205078125,89.26123046875,736816.6694335938,865904.6104562843,0.8832055515688751
279,4045.2880859375,106.0205078125,89.26123046875,837402.5063476562,887228.328265235,0.8832055515688751
280,1913.5009765625,5.2490234375,74.22509765625,611816.7944335938,13371.796430850933,865.9132223076248
281,4664.0380859375,5.2490234375,74.22509765625,611816.7944335938,20442.733049761693,865.913222307625
282,1913.5009765625,169.7705078125,74.22509765625,611816.7944335938,216596.12189475735,0.027340896734081632
283,1913.5009765625,5.2490234375,33.63623046875,611816.7944335938,17563.78616369968,242.95258286423862
284,1913.5009765625,5.2490234375,74.22509765625,462402.88134765625,13326.740768751304,865.9132223076248
285,1913.5009765625,169.7705078125,33.63623046875,462402.88134765625,238550.66292853898,0.009275710770280898
286,4664.0380859375,5.2490234375,33.63623046875,462402.88134765625,25145.925683239497,242.95258286423856
287,4664.0380859375,169.7705078125,74.22509765625,462402.88134765625,205877.96366456617,0.027340896734081632
288,4664.0380859375,169.7705078125,33.63623046875,611816.7944335938,268404.70117858116,0.009275710770280898
289,4664.0380859375,169.7705078125,33.63623046875,462402.88134765625,246410.95578160178,0.009275710770280898
290,4388.5009765625,90.2490234375,29.72509765625,111817.29443359375,703730.3040654137,0.48669874209203146
291,2189.0380859375,90.2490234375,29.72509765625,111817.29443359375,629248.5068445735,0.48669874209203146
292,4388.5009765625,84.7705078125,29.72509765625,111817.29443359375,708016.338914564,0.5625024222786849
293,4388.5009765625,90.2490234375,78.13623046875,111817.29443359375,605928.1738679465,1.1958581153124244
294,4388.5009765625,90.2490234375,29.72509765625,962402.3813476562,1101847.5013702898,0.48669874209203146
295,4388.5009765625,84.7705078125,78.13623046875,962402.3813476562,932445.3827841231,1.382113879467688
296,2189.0380859375,90.2490234375,78.13623046875,962402.3813476562,788164.8041567655,1.1958581153124241
