,delta_coat,N_s,k_coat,CAH,Theta,p_steam
S1,0.4886792442307012,0.338631310277279,0.07552601418435445,0.0595778824963215,0.0345294899388829,0.02414546298081123
S1_conf,0.06474640625434556,0.0812821789586471,0.025288353534707538,0.023438780313728563,0.016774713356967386,0.0133780934891479
ST,0.4980362176571303,0.34705931988736116,0.08029962815982847,0.05972560304097316,0.033988271975138526,0.02212154121223186
ST_conf,0.049941530747762794,0.060668393520581045,0.01011044484952966,0.0063189518990606364,0.0038699788641279585,0.0023946827529575916
