,p_steam,Theta,CAH,k_coat,delta_coat,N_s,alpha,bond
0,114.39453125,83.966796875,34.37109375,8.3837890625,3.5224609375e-07,907226.6552734375,229562.71352184657,0.6620609961057468
1,110.91796875,83.966796875,34.37109375,8.3837890625,3.5224609375e-07,907226.6552734375,226696.97327975,0.6620609961057465
2,114.39453125,91.994140625,34.37109375,8.3837890625,3.5224609375e-07,907226.6552734375,245575.13730668204,0.5356687957152199
3,114.39453125,83.966796875,34.01953125,8.3837890625,3.5224609375e-07,907226.6552734375,229943.3053863648,0.655490351395317
4,114.39453125,83.966796875,34.37109375,5.3466796875,3.5224609375e-07,907226.6552734375,217115.71595400525,0.6620609961057468
5,114.39453125,83.966796875,34.37109375,8.3837890625,1.7646484375e-07,907226.6552734375,242176.76274282517,0.6620609961057468
6,114.39453125,83.966796875,34.37109375,8.3837890625,3.5224609375e-07,254883.5576171875,215849.57930566074,0.6620609961057468
7,114.39453125,91.994140625,34.01953125,5.3466796875,1.7646484375e-07,254883.5576171875,235423.10097350253,0.5303525342834016
8,110.91796875,83.966796875,34.01953125,5.3466796875,1.7646484375e-07,254883.5576171875,218143.91454377628,0.6554903513953171
9,110.91796875,91.994140625,34.37109375,5.3466796875,1.7646484375e-07,254883.5576171875,232227.26334063642,0.53566879571522
10,110.91796875,91.994140625,34.01953125,8.3837890625,1.7646484375e-07,254883.5576171875,240167.8754364266,0.5303525342834015
11,110.91796875,91.994140625,34.01953125,5.3466796875,3.5224609375e-07,254883.5576171875,214712.31975405826,0.5303525342834015
12,110.91796875,91.994140625,34.01953125,5.3466796875,1.7646484375e-07,907226.6552734375,248989.4324238893,0.5303525342834015
13,110.91796875,91.994140625,34.01953125,5.3466796875,1.7646484375e-07,254883.5576171875,232612.26416953417,0.5303525342834015
14,124.39453125,88.966796875,24.37109375,5.8837890625,8.0224609375e-07,407227.1552734375,204711.28613007386,0.4142006237509216
15,120.91796875,88.966796875,24.37109375,5.8837890625,8.0224609375e-07,407227.1552734375,203106.58771838687,0.4142006237509217
16,124.39453125,86.994140625,24.37109375,5.8837890625,8.0224609375e-07,407227.1552734375,202360.31887987713,0.43630853907766215
17,124.39453125,88.966796875,24.01953125,5.8837890625,8.0224609375e-07,407227.1552734375,205197.91790194335,0.4083140384467003
18,124.39453125,88.966796875,24.37109375,7.8466796875,8.0224609375e-07,407227.1552734375,219064.4938926215,0.4142006237509216
19,124.39453125,88.966796875,24.37109375,5.8837890625,6.264648437499999e-07,407227.1552734375,217139.416533203,0.4142006237509216
20,124.39453125,88.966796875,24.37109375,5.8837890625,8.0224609375e-07,754883.0576171875,210145.5445019684,0.4142006237509216
21,124.39453125,86.994140625,24.01953125,7.8466796875,6.264648437499999e-07,754883.0576171875,233964.13767255517,0.4301077578934569
22,120.91796875,88.966796875,24.01953125,7.8466796875,6.264648437499999e-07,754883.0576171875,235029.9224698737,0.4083140384467003
23,120.91796875,86.994140625,24.37109375,7.8466796875,6.264648437499999e-07,754883.0576171875,231162.29932153015,0.436308539077662
24,120.91796875,86.994140625,24.01953125,5.8837890625,6.264648437499999e-07,754883.0576171875,218853.3649878709,0.4301077578934569
25,120.91796875,86.994140625,24.01953125,7.8466796875,8.0224609375e-07,754883.0576171875,220772.16334348725,0.4301077578934569
26,120.91796875,86.994140625,24.01953125,7.8466796875,6.264648437499999e-07,407227.1552734375,225348.29178497556,0.4301077578934569
27,120.91796875,86.994140625,24.01953125,7.8466796875,6.264648437499999e-07,754883.0576171875,231712.12379626845,0.4301077578934569
28,129.39453125,86.466796875,39.37109375,9.6337890625,5.7724609375e-07,157227.4052734375,209632.24369510543,0.7060968166433195
29,115.91796875,86.466796875,39.37109375,9.6337890625,5.7724609375e-07,157227.4052734375,201779.5482719626,0.7060968166433197
30,129.39453125,84.494140625,39.37109375,9.6337890625,5.7724609375e-07,157227.4052734375,206529.4462313323,0.7442068383325282
31,129.39453125,86.466796875,29.01953125,9.6337890625,5.7724609375e-07,157227.4052734375,220192.69105974134,0.5251742990482626
32,129.39453125,86.466796875,39.37109375,9.0966796875,5.7724609375e-07,157227.4052734375,207919.38428951486,0.7060968166433195
33,129.39453125,86.466796875,39.37109375,9.6337890625,8.5146484375e-07,157227.4052734375,196823.17810413238,0.7060968166433195
34,129.39453125,86.466796875,39.37109375,9.6337890625,5.7724609375e-07,504883.3076171875,224554.53023628762,0.7060968166433195
35,129.39453125,84.494140625,29.01953125,9.0966796875,8.5146484375e-07,504883.3076171875,214954.2831156873,0.553519426027435
36,115.91796875,86.466796875,29.01953125,9.0966796875,8.5146484375e-07,504883.3076171875,210559.06273004285,0.5251742990482627
37,115.91796875,84.494140625,39.37109375,9.0966796875,8.5146484375e-07,504883.3076171875,197396.61743574034,0.7442068383325282
38,115.91796875,84.494140625,29.01953125,9.6337890625,8.5146484375e-07,504883.3076171875,209556.5061658689,0.5535194260274349
39,115.91796875,84.494140625,29.01953125,9.0966796875,5.7724609375e-07,504883.3076171875,221076.1981639175,0.5535194260274349
40,115.91796875,84.494140625,29.01953125,9.0966796875,8.5146484375e-07,157227.4052734375,194854.59855980892,0.5535194260274349
41,115.91796875,84.494140625,29.01953125,9.0966796875,8.5146484375e-07,504883.3076171875,207338.75579942172,0.5535194260274349
42,119.39453125,91.466796875,29.37109375,7.1337890625,1.2724609375e-07,657226.9052734375,269563.55841245997,0.46597097954319044
43,125.91796875,91.466796875,29.37109375,7.1337890625,1.2724609375e-07,657226.9052734375,275756.6791848549,0.46597097954319056
44,119.39453125,89.494140625,29.37109375,7.1337890625,1.2724609375e-07,657226.9052734375,265258.7468247152,0.4906356323006899
45,119.39453125,91.466796875,39.01953125,7.1337890625,1.2724609375e-07,657226.9052734375,257497.72135950453,0.6138485850899044
46,119.39453125,91.466796875,29.37109375,6.5966796875,1.2724609375e-07,657226.9052734375,268381.13871987583,0.46597097954319044
47,119.39453125,91.466796875,29.37109375,7.1337890625,4.0146484374999996e-07,657226.9052734375,242240.76445065733,0.46597097954319044
48,119.39453125,91.466796875,29.37109375,7.1337890625,1.2724609375e-07,4883.8076171875,163921.88987325205,0.46597097954319044
49,119.39453125,89.494140625,39.01953125,6.5966796875,4.0146484374999996e-07,4883.8076171875,145014.61174264413,0.6463406561879098
50,125.91796875,91.466796875,39.01953125,6.5966796875,4.0146484374999996e-07,4883.8076171875,147422.46998911124,0.6138485850899043
51,125.91796875,89.494140625,29.37109375,6.5966796875,4.0146484374999996e-07,4883.8076171875,153794.7919124455,0.49063563230068985
52,125.91796875,89.494140625,39.01953125,7.1337890625,4.0146484374999996e-07,4883.8076171875,148027.03965792008,0.6463406561879099
53,125.91796875,89.494140625,39.01953125,6.5966796875,1.2724609375e-07,4883.8076171875,157816.9173633411,0.6463406561879099
54,125.91796875,89.494140625,39.01953125,6.5966796875,4.0146484374999996e-07,657226.9052734375,230076.84236301715,0.6463406561879099
55,125.91796875,89.494140625,39.01953125,6.5966796875,4.0146484374999996e-07,4883.8076171875,146926.75134850052,0.6463406561879099
56,116.89453125,87.716796875,26.87109375,6.5087890625,2.3974609374999995e-07,782226.7802734375,251217.53870943421,0.47119718655054754
57,118.41796875,87.716796875,26.87109375,6.5087890625,2.3974609374999995e-07,782226.7802734375,252534.26456117572,0.47119718655054754
58,116.89453125,83.244140625,26.87109375,6.5087890625,2.3974609374999995e-07,782226.7802734375,240940.44178979218,0.5308598902215056
59,116.89453125,87.716796875,31.51953125,6.5087890625,2.3974609374999995e-07,782226.7802734375,244788.781790539,0.5508005666673065
60,116.89453125,87.716796875,26.87109375,8.4716796875,2.3974609374999995e-07,782226.7802734375,257032.03133946838,0.47119718655054754
61,116.89453125,87.716796875,26.87109375,6.5087890625,9.639648437499999e-07,782226.7802734375,197667.17035806738,0.47119718655054754
62,116.89453125,87.716796875,26.87109375,6.5087890625,2.3974609374999995e-07,129883.6826171875,226056.55556387216,0.47119718655054754
63,116.89453125,83.244140625,31.51953125,8.4716796875,9.639648437499999e-07,129883.6826171875,181749.72845018268,0.6205426023348779
64,118.41796875,87.716796875,31.51953125,8.4716796875,9.639648437499999e-07,129883.6826171875,188004.57612885782,0.5508005666673066
65,118.41796875,83.244140625,26.87109375,8.4716796875,9.639648437499999e-07,129883.6826171875,187246.51505059603,0.5308598902215058
