,Theta,p_steam,N_s,CAH
S1,0.6054581968816436,0.12931673081835954,0.08451709917319006,0.08124466003850694
S1_conf,0.06384133225061873,0.03202191068547233,0.03157300107523418,0.03283697200111484
ST,0.696474912972027,0.1773990810409308,0.1280575518550395,0.09916931035886677
ST_conf,0.06703825046963682,0.02854790776413421,0.022165805229631807,0.014041942301318923
