,p_steam,Theta,CAH,N_s,alpha,bond
0,114.39453125,83.966796875,34.37109375,676758.1357421875,253516.37505846104,0.6620609961057468
1,115.60546875,83.966796875,34.37109375,676758.1357421875,254796.62498811353,0.6620609961057465
2,114.39453125,92.072265625,34.37109375,676758.1357421875,274448.9002045004,0.5345797377563374
3,114.39453125,83.966796875,24.91796875,676758.1357421875,267111.65273750597,0.4834159146436181
4,114.39453125,83.966796875,34.37109375,899414.1630859375,256751.61776535746,0.6620609961057468
5,114.39453125,92.072265625,24.91796875,899414.1630859375,293255.2117089811,0.3903331481502184
6,115.60546875,83.966796875,24.91796875,899414.1630859375,271898.93288053694,0.4834159146436181
7,115.60546875,92.072265625,34.37109375,899414.1630859375,279720.09585331584,0.5345797377563373
8,115.60546875,92.072265625,24.91796875,676758.1357421875,290604.4231002743,0.39033314815021847
9,115.60546875,92.072265625,24.91796875,899414.1630859375,294724.47047853214,0.39033314815021847
10,124.39453125,88.966796875,24.37109375,176758.6357421875,269254.76647431054,0.4142006237509216
11,125.60546875,88.966796875,24.37109375,176758.6357421875,270407.1696926273,0.41420062375092176
12,124.39453125,87.072265625,24.37109375,176758.6357421875,264906.53854474373,0.4354075959815888
13,124.39453125,88.966796875,34.91796875,176758.6357421875,253979.0408352626,0.5887376980474969
14,124.39453125,88.966796875,24.37109375,399414.6630859375,285055.06756574777,0.4142006237509216
15,124.39453125,87.072265625,34.91796875,399414.6630859375,264173.9250361345,0.6188809264680036
16,125.60546875,88.966796875,34.91796875,399414.6630859375,270081.2038626303,0.5887376980474966
17,125.60546875,87.072265625,24.37109375,399414.6630859375,281322.9081675888,0.43540759598158885
18,125.60546875,87.072265625,34.91796875,176758.6357421875,250954.3096639498,0.6188809264680035
19,125.60546875,87.072265625,34.91796875,399414.6630859375,265360.0498615924,0.6188809264680035
20,129.39453125,86.466796875,39.37109375,926757.8857421875,274134.9151117513,0.7060968166433195
21,120.60546875,86.466796875,39.37109375,926757.8857421875,265083.9096435371,0.7060968166433196
22,129.39453125,84.572265625,39.37109375,926757.8857421875,268673.1662166773,0.7426517872903848
23,129.39453125,86.466796875,29.91796875,926757.8857421875,286534.53090181114,0.5410681852939503
24,129.39453125,86.466796875,39.37109375,149414.9130859375,244826.43336963706,0.7060968166433195
25,129.39453125,84.572265625,29.91796875,149414.9130859375,251485.49619054882,0.5690795445938074
26,120.60546875,86.466796875,29.91796875,149414.9130859375,248096.52622529544,0.5410681852939503
27,120.60546875,84.572265625,39.37109375,149414.9130859375,233226.06604882475,0.742651787290385
